label,statement,target,clean_text
half-true,The lack of an automatic braking system that could have prevented the Philadelphia Amtrak crash wasnt driven by a lack of funding. It just takes a while. They (Congress) just passed it in the recent past.,half-true,lack automatic braking system could prevented philadelphia amtrak crash wasnt driven lack funding takes congress passed recent past
false,Obama has chosen to deny the vicious anti-Semitic motivation of the attack on a kosher Jewish grocery in Paris.,false,obama chosen deny vicious antisemitic motivation attack kosher jewish grocery paris
half-true,"Only 15 percent of drug users are African-American, yet 74 percent of all drug offenders sentenced to prison are black",half-true,percent drug users africanamerican yet percent drug offenders sentenced prison black
false,"Gas prices have never been higher, and Exxon Mobil's profits have never been higher.",false,gas prices never higher exxon mobils profits never higher
true,Were now the No. 1 producer of oil in the world. Weve surpassed Saudi Arabia.,true,producer oil world weve surpassed saudi arabia
barely-true,"Says As Mayor of Wilsonville, I drove TriMet out of town and replaced their bloated transit system with our own local bus line that offers better service and has saved our businesses millions of dollars.",barely-true,says mayor wilsonville drove trimet town replaced bloated transit system local bus line offers better service saved businesses millions dollars
mostly-true,"If Rhode Island applied a 1-percent sales tax on all items exempt from sales tax, ''the state would receive an additional $89,376,857.''",mostly-true,rhode island applied percent sales tax items exempt sales tax state would receive additional
false,Did not vote for tax increases as a member of the West Miami City Commission.,false,vote tax increases member west miami city commission
pants-fire,Were going to be looking at $8 billion a day that were going to be pouring into foreign countries in order to import that make-up fuel that were going to need to take the place of what we could have gotten out of the gulf.,pants-fire,going looking billion day going pouring foreign countries order import makeup fuel going need take place could gotten gulf
false,Birth control pioneer Margaret Sanger believed that people like me should be eliminated.,false,birth control pioneer margaret sanger believed people like eliminated
barely-true,Says a trash mound on U.S. 290 is 800 feet tall.,barely-true,says trash mound us feet tall
half-true,"Under the current procedure, if someone on a terror watch list tries to buy a gun, authorities are notified.",half-true,current procedure someone terror watch list tries buy gun authorities notified
false,"One of the first states in the union to pass a voter ID bill was Rhode Island, 85 percent Democratic legislature.",false,one first states union pass voter id bill rhode island percent democratic legislature
false,"In the past 27 months, President Barack Obama has created more private-sector jobs than in the Reagan recovery.",false,past months president barack obama created privatesector jobs reagan recovery
true,States with the highest gun ownership rates also have the highest suicide rates.,true,states highest gun ownership rates also highest suicide rates
true,I don't do earmarks. I've never done one. I'm not going to do one.,true,dont earmarks ive never done one im going one
mostly-true,"Likens Obamas predicament to 1982, saying, when Reagan just started out, (unemployment was at) exactly the same point. He was two years into his term. The unemployment was well over 10 percent, and it did come out of it.",mostly-true,likens obamas predicament saying reagan started unemployment exactly point two years term unemployment well percent come
